source_context,target_context,source_file,imported_type
api,execution-control,api/DispatchRequestController.java,com.opensocket.aievent.core.dispatch.DispatchRequestService
api,execution-control,api/DispatchRequestController.java,com.opensocket.aievent.core.dispatch.DispatchRequestStatus
api,execution-control,api/DispatchRequestController.java,com.opensocket.aievent.core.dispatch.ExecutionOperationalQuery
api,execution-control,api/TaskCallbackController.java,com.opensocket.aievent.core.callback.DispatchRecoveryResult
api,execution-control,api/TaskCallbackController.java,com.opensocket.aievent.core.callback.DispatchRecoveryService
api,execution-control,api/TaskCallbackController.java,com.opensocket.aievent.core.callback.TaskCallbackProperties
api,execution-control,api/TaskCallbackController.java,com.opensocket.aievent.core.callback.TaskCallbackRecord
api,execution-control,api/TaskCallbackController.java,com.opensocket.aievent.core.callback.TaskCallbackRequest
api,execution-control,api/TaskCallbackController.java,com.opensocket.aievent.core.callback.TaskCallbackResult
api,execution-control,api/TaskCallbackController.java,com.opensocket.aievent.core.callback.TaskCallbackService
api,execution-control,api/TaskCallbackController.java,com.opensocket.aievent.core.dispatch.ExecutionOperationalQuery
api,foundation-contracts,api/EventIntakeController.java,com.opensocket.aievent.core.event.EventIntakeRequest
api,foundation-contracts,api/IncidentController.java,com.opensocket.aievent.core.event.EventSeverity
api,foundation-kernel,api/ApiErrorResponse.java,com.opensocket.aievent.core.kernel.CoreTime
api,foundation-kernel,api/CoreStatusController.java,com.opensocket.aievent.core.kernel.CoreVersion
api,incident-management,api/CoreStatusController.java,com.opensocket.aievent.core.incident.IncidentOperationalQuery
api,incident-management,api/IncidentController.java,com.opensocket.aievent.core.summary.IncidentOccurrenceSummary
api,integration-events,api/CoreStatusController.java,com.opensocket.aievent.core.integration.IntegrationEventOperationalQuery
api,integration-events,api/CoreStatusController.java,com.opensocket.aievent.core.integration.IntegrationEventProperties
api,lifecycle-control,api/CoreStatusController.java,com.opensocket.aievent.core.lifecycle.LifecycleProperties
api,lifecycle-control,api/IncidentController.java,com.opensocket.aievent.core.lifecycle.IncidentLifecycleService
api,lifecycle-control,api/IncidentController.java,com.opensocket.aievent.core.lifecycle.LifecycleScanResult
api,observability,api/CoreStatusController.java,com.opensocket.aievent.core.observability.ObservabilityProperties
api,observability,api/OperationalSummaryController.java,com.opensocket.aievent.core.observability.OperationalSummary
api,observability,api/OperationalSummaryController.java,com.opensocket.aievent.core.observability.OperationalSummaryService
api,task-orchestration,api/CoreStatusController.java,com.opensocket.aievent.core.routing.RoutingProperties
api,task-orchestration,api/CoreStatusController.java,com.opensocket.aievent.core.task.TaskOperationalQuery
api,task-orchestration,api/CoreStatusController.java,com.opensocket.aievent.core.task.TaskOrchestrationProperties
api,task-orchestration,api/RoutingDecisionController.java,com.opensocket.aievent.core.routing.RoutingDecisionRecord
api,task-orchestration,api/RoutingDecisionController.java,com.opensocket.aievent.core.task.TaskOperationalQuery
app-config,adapter-action,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.action.AdapterActionProperties
app-config,adapter-action,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.action.executor.AdapterActionExecutionProperties
app-config,adapter-action,config/CoreDeploymentModeValidator.java,com.opensocket.aievent.core.action.executor.AdapterActionExecutionProperties
app-config,domain-events,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.outbox.OutboxProperties
app-config,event-processing,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.dedup.EventDedupRedisProperties
app-config,event-processing,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.fingerprint.FingerprintPolicyProperties
app-config,event-processing,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.processing.EventProcessingProperties
app-config,execution-control,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.callback.TaskCallbackProperties
app-config,execution-control,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.dispatch.DispatchProperties
app-config,incident-management,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.incident.IncidentModuleProperties
app-config,incident-management,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.summary.IncidentSummaryProperties
app-config,integration-events,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.integration.IntegrationEventProperties
app-config,integration-events,config/CoreDeploymentModeValidator.java,com.opensocket.aievent.core.integration.IntegrationEventProperties
app-config,lifecycle-control,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.lifecycle.LifecycleProperties
app-config,observability,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.observability.ObservabilityProperties
app-config,task-orchestration,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.routing.RoutingProperties
app-config,task-orchestration,AiEventGatewayCoreApplication.java,com.opensocket.aievent.core.task.TaskOrchestrationProperties
database-platform,adapter-action,persistence/adapter/converter/AdapterActionPersistenceConverter.java,com.opensocket.aievent.core.action.AdapterAction
database-platform,adapter-action,persistence/adapter/converter/AdapterActionPersistenceConverter.java,com.opensocket.aievent.core.action.AdapterActionStatus
database-platform,adapter-action,persistence/adapter/converter/AdapterActionPersistenceConverter.java,com.opensocket.aievent.core.action.AdapterActionType
database-platform,adapter-action,persistence/adapter/converter/AdapterActionPersistenceConverter.java,com.opensocket.aievent.core.action.AdapterType
database-platform,adapter-action,persistence/adapter/converter/AdapterExecutorAuditPersistenceConverter.java,com.opensocket.aievent.core.action.executor.audit.AdapterExecutorAuditRecord
database-platform,adapter-action,persistence/adapter/repository/MybatisAdapterActionRepository.java,com.opensocket.aievent.core.action.AdapterAction
database-platform,adapter-action,persistence/adapter/repository/MybatisAdapterActionRepository.java,com.opensocket.aievent.core.action.AdapterActionRepository
database-platform,adapter-action,persistence/adapter/repository/MybatisAdapterActionRepository.java,com.opensocket.aievent.core.action.AdapterActionStatus
database-platform,adapter-action,persistence/adapter/repository/MybatisAdapterActionRepository.java,com.opensocket.aievent.core.action.AdapterActionType
database-platform,adapter-action,persistence/adapter/repository/MybatisAdapterActionRepository.java,com.opensocket.aievent.core.action.AdapterType
database-platform,adapter-action,persistence/adapter/repository/MybatisAdapterExecutorAuditRepository.java,com.opensocket.aievent.core.action.executor.audit.AdapterExecutorAuditRecord
database-platform,adapter-action,persistence/adapter/repository/MybatisAdapterExecutorAuditRepository.java,com.opensocket.aievent.core.action.executor.audit.AdapterExecutorAuditRepository
database-platform,agent-control,persistence/agent/converter/AgentDirectoryPersistenceConverter.java,com.opensocket.aievent.core.agent.AgentQuery
database-platform,agent-control,persistence/agent/converter/AgentDirectoryPersistenceConverter.java,com.opensocket.aievent.core.agent.AgentSnapshot
database-platform,agent-control,persistence/agent/converter/AgentDirectoryPersistenceConverter.java,com.opensocket.aievent.core.agent.AgentStatus
database-platform,agent-control,persistence/agent/converter/GatewayNodePersistenceConverter.java,com.opensocket.aievent.core.gateway.GatewayNode
database-platform,agent-control,persistence/agent/converter/GatewayNodePersistenceConverter.java,com.opensocket.aievent.core.gateway.GatewayNodeQuery
database-platform,agent-control,persistence/agent/converter/GatewayNodePersistenceConverter.java,com.opensocket.aievent.core.gateway.GatewayNodeStatus
database-platform,agent-control,persistence/agent/repository/MybatisAgentDirectoryRepository.java,com.opensocket.aievent.core.agent.AgentDirectoryRepository
database-platform,agent-control,persistence/agent/repository/MybatisAgentDirectoryRepository.java,com.opensocket.aievent.core.agent.AgentQuery
database-platform,agent-control,persistence/agent/repository/MybatisAgentDirectoryRepository.java,com.opensocket.aievent.core.agent.AgentSnapshot
database-platform,agent-control,persistence/agent/repository/MybatisAgentDirectoryRepository.java,com.opensocket.aievent.core.agent.AgentStatus
database-platform,agent-control,persistence/agent/repository/MybatisGatewayNodeRepository.java,com.opensocket.aievent.core.gateway.GatewayNode
database-platform,agent-control,persistence/agent/repository/MybatisGatewayNodeRepository.java,com.opensocket.aievent.core.gateway.GatewayNodeQuery
database-platform,agent-control,persistence/agent/repository/MybatisGatewayNodeRepository.java,com.opensocket.aievent.core.gateway.GatewayNodeRepository
database-platform,agent-control,persistence/agent/repository/MybatisGatewayNodeRepository.java,com.opensocket.aievent.core.gateway.GatewayNodeStatus
database-platform,domain-events,persistence/domainevent/converter/OutboxEventPersistenceConverter.java,com.opensocket.aievent.core.outbox.OutboxEventRecord
database-platform,domain-events,persistence/domainevent/converter/OutboxEventPersistenceConverter.java,com.opensocket.aievent.core.outbox.OutboxEventStatus
database-platform,domain-events,persistence/domainevent/repository/MybatisOutboxEventRepository.java,com.opensocket.aievent.core.outbox.OutboxEventRecord
database-platform,domain-events,persistence/domainevent/repository/MybatisOutboxEventRepository.java,com.opensocket.aievent.core.outbox.OutboxEventRepository
database-platform,domain-events,persistence/domainevent/repository/MybatisOutboxEventRepository.java,com.opensocket.aievent.core.outbox.OutboxEventStatus
database-platform,event-processing,persistence/eventprocessing/converter/DedupStateSnapshotPersistenceConverter.java,com.opensocket.aievent.core.dedup.DedupState
database-platform,event-processing,persistence/eventprocessing/converter/EventDecisionPersistenceConverter.java,com.opensocket.aievent.core.decision.DecisionAction
database-platform,event-processing,persistence/eventprocessing/converter/EventDecisionPersistenceConverter.java,com.opensocket.aievent.core.decision.DecisionType
database-platform,event-processing,persistence/eventprocessing/converter/EventDecisionPersistenceConverter.java,com.opensocket.aievent.core.decision.EventDecisionRecord
database-platform,event-processing,persistence/eventprocessing/repository/MybatisDedupStateSnapshotRepository.java,com.opensocket.aievent.core.dedup.DedupState
database-platform,event-processing,persistence/eventprocessing/repository/MybatisDedupStateSnapshotRepository.java,com.opensocket.aievent.core.dedup.snapshot.DedupStateSnapshotRepository
database-platform,event-processing,persistence/eventprocessing/repository/MybatisEventDecisionRepository.java,com.opensocket.aievent.core.decision.DecisionAction
database-platform,event-processing,persistence/eventprocessing/repository/MybatisEventDecisionRepository.java,com.opensocket.aievent.core.decision.DecisionType
database-platform,event-processing,persistence/eventprocessing/repository/MybatisEventDecisionRepository.java,com.opensocket.aievent.core.decision.EventDecisionRecord
database-platform,event-processing,persistence/eventprocessing/repository/MybatisEventDecisionRepository.java,com.opensocket.aievent.core.decision.EventDecisionRepository
database-platform,execution-control,persistence/execution/converter/DispatchRequestPersistenceConverter.java,com.opensocket.aievent.core.dispatch.DispatchEligibilityStatus
database-platform,execution-control,persistence/execution/converter/DispatchRequestPersistenceConverter.java,com.opensocket.aievent.core.dispatch.DispatchMethod
database-platform,execution-control,persistence/execution/converter/DispatchRequestPersistenceConverter.java,com.opensocket.aievent.core.dispatch.DispatchRequest
