source_context,target_context,import_count
adapter-action,domain-events,2
adapter-action,execution-control,9
adapter-action,foundation-contracts,2
adapter-action,incident-management,2
adapter-action,infrastructure,2
adapter-action,task-orchestration,7
agent-control,infrastructure,4
api,adapter-action,15
api,agent-control,13
api,app-config,1
api,event-processing,6
api,execution-control,18
api,foundation-contracts,2
api,foundation-kernel,2
api,incident-management,2
api,lifecycle-control,3
api,observability,3
api,task-orchestration,5
app-config,adapter-action,2
app-config,domain-events,1
app-config,event-processing,3
app-config,execution-control,2
app-config,incident-management,2
app-config,lifecycle-control,1
app-config,observability,1
app-config,task-orchestration,2
domain-events,foundation-contracts,7
event-processing,foundation-contracts,23
event-processing,incident-management,6
event-processing,observability,1
event-processing,task-orchestration,2
execution-control,agent-control,2
execution-control,domain-events,3
execution-control,foundation-contracts,3
execution-control,infrastructure,4
execution-control,task-orchestration,15
incident-management,domain-events,1
incident-management,foundation-contracts,13
incident-management,infrastructure,2
incident-management,lifecycle-control,2
lifecycle-control,incident-management,2
lifecycle-control,observability,2
lifecycle-control,task-orchestration,3
observability,adapter-action,3
observability,agent-control,1
observability,domain-events,1
observability,event-processing,2
observability,execution-control,4
observability,foundation-contracts,1
observability,incident-management,2
observability,lifecycle-control,1
observability,task-orchestration,4
task-orchestration,agent-control,6
task-orchestration,domain-events,1
task-orchestration,event-processing,5
task-orchestration,execution-control,3
task-orchestration,foundation-contracts,5
task-orchestration,incident-management,5
task-orchestration,infrastructure,2
task-orchestration,lifecycle-control,2
